date,ue.haz,su.haz,un.haz,ne.haz,nu.haz,sn.haz
1/1/1994,25.1,55.1,19.8,4.7,3.1,92.2
2/1/1994,24.8,53.7,21.5,4.4,3,92.7
3/1/1994,28.4,49.4,22.1,4.1,2.7,93.2
4/1/1994,29.5,47.9,22.6,4.6,2.8,92.7
5/1/1994,27.4,47.4,25.2,6.3,3.7,90
6/1/1994,29.3,48.4,22.3,4.8,3.2,92
7/1/1994,26.3,49.6,24.2,4.5,3,92.5
8/1/1994,31.6,44.3,24.1,5.2,2.7,92.1
9/1/1994,27.5,49.8,22.8,4.5,2.7,92.9
10/1/1994,26.4,48.4,25.1,4.1,2.4,93.5
11/1/1994,26.4,49,24.7,3.9,2.2,93.9
12/1/1994,22.2,52.3,25.5,4.2,2.7,93.1
1/1/1995,30.5,47.7,21.8,3.9,2.5,93.6
2/1/1995,27.1,53,19.9,4.1,2.4,93.5
3/1/1995,27.9,49.5,22.6,3.9,2.6,93.5
4/1/1995,28.1,48.8,23.1,3.8,2.8,93.4
5/1/1995,,,,,,
6/1/1995,,,,,,
7/1/1995,,,,,,
8/1/1995,,,,,,
9/1/1995,29.7,46.1,24.3,4.9,2.6,92.4
10/1/1995,28.9,47.8,23.3,4.3,2.4,93.3
11/1/1995,22.2,53.2,24.6,3.4,2.3,94.3
12/1/1995,22.7,54.1,23.2,3.5,2.6,93.8
1/1/1996,29.1,49,21.9,4.4,2.6,93
2/1/1996,25.5,51.8,22.7,4.1,2.8,93.1
3/1/1996,25.2,52.8,22,3.6,2.3,94.2
4/1/1996,31.7,44,24.2,4.7,2.7,92.6
5/1/1996,27.8,46.5,25.7,5.6,3,91.4
6/1/1996,29.1,48.6,22.3,5.4,3.3,91.3
7/1/1996,31.5,45.5,22.9,4.7,2.5,92.8
8/1/1996,30.7,43.9,25.5,4.8,2.3,92.9
9/1/1996,30.4,48.3,21.2,4.2,2.8,93
10/1/1996,28.7,45.6,25.7,3.9,2.3,93.8
11/1/1996,22.7,53.5,23.8,3.3,2.2,94.5
12/1/1996,25.1,50.4,24.5,3.8,2.6,93.5
1/1/1997,27.1,52.1,20.8,4.1,2.8,93.1
2/1/1997,26.7,51.7,21.6,4.4,2.7,92.9
3/1/1997,27.1,47.3,25.6,3.9,2,94.1
4/1/1997,34.7,43.8,21.5,4.8,2.5,92.7
5/1/1997,28.9,48,23,5.5,3.3,91.2
6/1/1997,29.5,47.9,22.5,4.8,2.8,92.4
7/1/1997,30.9,42.3,26.9,4.8,2.7,92.5
8/1/1997,29.9,45.5,24.6,4.8,2.3,92.9
9/1/1997,35.1,42.1,22.8,4.7,2.2,93.1
10/1/1997,28.3,46.7,24.9,4.2,1.9,93.9
11/1/1997,27.9,46.8,25.4,4.1,1.8,94
12/1/1997,24.8,49.6,25.6,4.2,2.2,93.6
1/1/1998,29.2,47.5,23.3,4.2,2.5,93.3
2/1/1998,28.5,47.3,24.2,4.4,2.4,93.2
3/1/1998,34.3,40.2,25.5,4.2,1.8,93.9
4/1/1998,31.4,45.6,23,4.8,2.5,92.7
5/1/1998,32.5,45.3,22.1,5.5,3,91.5
6/1/1998,33.7,41.6,24.7,5.4,2.6,92
7/1/1998,30.9,45.1,24,4.9,2.3,92.8
8/1/1998,33.2,43.2,23.6,5.9,2.4,91.8
9/1/1998,36.8,39.7,23.5,5.3,2.2,92.5
10/1/1998,28.9,45.6,25.5,4.4,2.1,93.4
11/1/1998,25.9,44.5,29.6,4.5,1.8,93.7
12/1/1998,27.1,46,26.8,4.8,2.3,92.8
1/1/1999,30.3,47.9,21.8,4.5,2.3,93.2
2/1/1999,31.4,45.4,23.3,4.6,2.1,93.3
3/1/1999,31.2,42.2,26.6,4.9,2,93.2
4/1/1999,32.5,42.1,25.4,5.4,2.1,92.5
5/1/1999,31.1,46.4,22.5,6,2.7,91.3
6/1/1999,35.9,42.2,21.9,6.1,2.5,91.3
7/1/1999,32.3,42.9,24.8,4.6,1.8,93.6
8/1/1999,38.8,39.7,21.6,5.6,2.3,92.2
9/1/1999,31.4,43.7,24.9,5.4,1.9,92.7
10/1/1999,32,42.3,25.6,4.5,2.1,93.4
11/1/1999,28.9,44.9,26.2,4.3,1.7,94
12/1/1999,31.2,45.1,23.7,4.5,2.1,93.5
1/1/2000,30.6,46.6,22.8,5.1,2.2,92.7
2/1/2000,32.3,43.6,24.1,4.8,2,93.1
3/1/2000,35.2,39.6,25.2,4.3,1.8,94
4/1/2000,32,43.3,24.7,4.4,2.4,93.3
